end_dttm,room,start_dttm,id
2019-01-27 02:36:00,Operating Room #1,2019-01-26 22:08:00,0
2019-01-09 00:07:00,Operating Room #5,2019-01-08 18:55:00,1
2019-02-01 12:18:00,Operating Room #3,2019-02-01 09:26:00,2
2019-01-11 15:21:00,Operating Room #3,2019-01-11 13:39:00,3
2019-01-08 23:33:00,Operating Room #6,2019-01-08 20:43:00,4
2019-01-08 17:42:00,Operating Room #3,2019-01-08 15:56:00,5
2019-01-06 01:04:00,Operating Room #6,2019-01-05 22:21:00,6
2019-01-01 16:28:00,Operating Room #6,2019-01-01 13:09:00,7
2019-01-08 09:40:00,Operating Room #1,2019-01-08 05:07:00,8
2019-01-29 03:06:00,Operating Room #1,2019-01-28 22:04:00,9
2019-01-22 09:25:00,Operating Room #5,2019-01-22 05:41:00,10
2019-01-06 06:27:00,Operating Room #6,2019-01-06 04:12:00,11
2019-01-16 04:23:00,Operating Room #5,2019-01-16 02:07:00,12
2019-01-17 21:07:00,Operating Room #5,2019-01-17 17:19:00,13
2019-01-24 15:37:00,Operating Room #2,2019-01-24 09:47:00,14
2019-01-24 21:33:00,Operating Room #1,2019-01-24 19:40:00,15
2019-02-01 02:49:00,Operating Room #2,2019-01-31 22:49:00,16
2019-01-16 21:15:00,Operating Room #2,2019-01-16 18:21:00,17
2019-01-30 08:19:00,Operating Room #2,2019-01-30 06:43:00,18
2019-01-02 09:46:00,Operating Room #2,2019-01-02 06:13:00,19
2019-01-03 17:39:00,Operating Room #5,2019-01-03 16:34:00,20
2019-01-06 03:10:00,Operating Room #3,2019-01-05 22:49:00,21
2019-01-31 14:22:00,Operating Room #2,2019-01-31 12:28:00,22
2019-01-17 10:43:00,Operating Room #1,2019-01-17 05:07:00,23
2019-01-11 02:05:00,Operating Room #4,2019-01-11 00:46:00,24
2019-01-29 13:33:00,Operating Room #2,2019-01-29 09:34:00,25
2019-01-21 17:08:00,Operating Room #5,2019-01-21 11:58:00,26
2019-01-19 07:54:00,Operating Room #5,2019-01-19 03:05:00,27
2019-01-04 14:29:00,Operating Room #4,2019-01-04 08:32:00,28
2019-01-30 08:42:00,Operating Room #1,2019-01-30 03:25:00,29
2019-01-05 12:47:00,Operating Room #1,2019-01-05 12:23:00,30
2019-01-12 09:35:00,Operating Room #2,2019-01-12 07:51:00,31
2019-01-15 09:29:00,Operating Room #3,2019-01-15 06:10:00,32
2019-01-02 01:35:00,Operating Room #1,2019-01-01 23:42:00,33
2019-01-14 06:43:00,Operating Room #6,2019-01-14 01:52:00,34
2019-01-09 21:35:00,Operating Room #5,2019-01-09 15:48:00,35
2019-01-13 00:36:00,Operating Room #6,2019-01-12 20:24:00,36
2019-01-25 05:36:00,Operating Room #4,2019-01-25 00:00:00,37
2019-01-11 21:05:00,Operating Room #3,2019-01-11 19:52:00,38
2019-01-22 22:14:00,Operating Room #3,2019-01-22 19:50:00,39
2019-01-23 00:54:00,Operating Room #2,2019-01-22 19:45:00,40
2019-01-11 11:40:00,Operating Room #4,2019-01-11 07:07:00,41
2019-01-23 15:29:00,Operating Room #3,2019-01-23 12:08:00,42
2019-01-28 13:59:00,Operating Room #6,2019-01-28 09:54:00,43
2019-01-02 20:08:00,Operating Room #6,2019-01-02 16:03:00,44
2019-01-01 05:01:00,Operating Room #5,2019-01-01 04:38:00,45
2019-02-01 22:30:00,Operating Room #2,2019-02-01 16:55:00,46
2019-01-20 03:02:00,Operating Room #6,2019-01-20 01:55:00,47
2019-01-28 01:09:00,Operating Room #6,2019-01-28 00:44:00,48
2019-01-19 16:35:00,Operating Room #4,2019-01-19 15:39:00,49
2019-01-15 21:54:00,Operating Room #4,2019-01-15 19:33:00,50
2019-01-02 23:25:00,Operating Room #1,2019-01-02 17:51:00,51
2019-01-05 06:12:00,Operating Room #5,2019-01-05 02:27:00,52
2019-01-25 04:29:00,Operating Room #6,2019-01-25 01:25:00,53
2019-02-01 08:03:00,Operating Room #4,2019-02-01 03:47:00,54
2019-01-14 02:50:00,Operating Room #4,2019-01-13 21:11:00,55
2019-01-26 20:47:00,Operating Room #4,2019-01-26 14:47:00,56
2019-01-29 06:32:00,Operating Room #2,2019-01-29 06:17:00,57
2019-01-03 05:28:00,Operating Room #2,2019-01-03 03:37:00,58
2019-01-30 14:56:00,Operating Room #4,2019-01-30 12:38:00,59
2019-01-16 13:37:00,Operating Room #5,2019-01-16 10:16:00,60
2019-01-11 13:39:00,Operating Room #5,2019-01-11 09:47:00,61
2019-01-11 12:31:00,Operating Room #6,2019-01-11 09:54:00,62
2019-01-23 21:59:00,Operating Room #2,2019-01-23 17:04:00,63
2019-01-18 19:17:00,Operating Room #2,2019-01-18 16:50:00,64
2019-01-26 14:37:00,Operating Room #6,2019-01-26 10:00:00,65
2019-01-10 11:32:00,Operating Room #1,2019-01-10 10:12:00,66
2019-01-18 05:25:00,Operating Room #1,2019-01-18 01:43:00,67
2019-01-08 08:45:00,Operating Room #4,2019-01-08 04:34:00,68
2019-01-15 00:10:00,Operating Room #3,2019-01-14 21:32:00,69
2019-01-16 03:56:00,Operating Room #6,2019-01-16 02:14:00,70
2019-01-16 02:05:00,Operating Room #3,2019-01-15 20:37:00,71
